Tyè 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
561,5990644;0,273141123;;585,6309374;234,375;0,234375;;538,613479;0,254957507;;;;;;;;;;;;;;;;;;;;;;;
561,863731;0,278831563;;585,3051046;239,2578125;0,239257813;;538,9088451;0,260269122;;;;;;;;;;;;;;;;;;;;;;;
562,2939793;0,284522003;;584,6954195;244,140625;0,244140625;;539,3316657;0,265580737;;;;;;;;;;;;;;;;;;;;;;;
562,5586627;0,290212443;;584,1847809;249,0234375;0,249023438;;539,0412141;0,270892351;;;;;;;;;;;;;;;;;;;;;;;
562,7427488;0,295902883;;588,5060911;253,90625;0,25390625;;539,1796498;0,276203966;;;;;;;;;;;;;;;;;;;;;;;
562,7631374;0,301593323;;588,7160622;258,7890625;0,258789063;;538,9752507;0,281515581;;;;;;;;;;;;;;;;;;;;;;;
562,0401418;0,307283763;;588,6444064;263,671875;0,263671875;;539,1329253;0,286827195;;;;;;;;;;;;;;;;;;;;;;;
561,632397;0,312974203;;588,811446;268,5546875;0,268554688;;539,5498098;0,29213881;;;;;;;;;;;;;;;;;;;;;;;
561,5925404;0,318664643;;589,3832635;273,4375;0,2734375;;539,6627161;0,297450425;;;;;;;;;;;;;;;;;;;;;;;
561,680824;0,324355083;;590,2179644;278,3203125;0,278320313;;540,1612597;0,30276204;;;;;;;;;;;;;;;;;;;;;;;
562,2107787;0,330045524;;586,228674;283,203125;0,283203125;;540,6253187;0,308073654;;;;;;;;;;;;;;;;;;;;;;;
562,7893143;0,335735964;;586,3127961;288,0859375;0,288085938;;540,5331416;0,313385269;;;;;;;;;;;;;;;;;;;;;;;
563,0081942;0,341426404;;585,7605718;292,96875;0,29296875;;540,6824123;0,318696884;;;;;;;;;;;;;;;;;;;;;;;
563,3017325;0,347116844;;585,9317125;297,8515625;0,297851563;;540,7326816;0,324008499;;;;;;;;;;;;;;;;;;;;;;;
563,4707214;0,352807284;;586,0739863;302,734375;0,302734375;;541,2235984;0,329320113;;;;;;;;;;;;;;;;;;;;;;;
563,3560728;0,358497724;;586,4963818;307,6171875;0,307617188;;541,6564878;0,334631728;;;;;;;;;;;;;;;;;;;;;;;
563,2052283;0,364188164;;587,1207632;312,5;0,3125;;541,8464799;0,339943343;;;;;;;;;;;;;;;;;;;;;;;
563,1929835;0,369878604;;588,0012182;317,3828125;0,317382813;;542,8641959;0,345254958;;;;;;;;;;;;;;;;;;;;;;;
563,2270347;0,375569044;;588,4974616;322,265625;0,322265625;;539,4221317;0,350566572;;;;;;;;;;;;;;;;;;;;;;;
563,6111252;0,381259484;;589,3673139;327,1484375;0,327148438;;539,9157968;0,355878187;;;;;;;;;;;;;;;;;;;;;;;
563,5096631;0,386949924;;589,7426339;332,03125;0,33203125;;543,7348033;0,361189802;;;;;;;;;;;;;;;;;;;;;;;
